02,09,19,29,30,36,42,43
04,10,11,17,24,26,32,45
01,08,13,23,28,38,51,60
10,11,21,28,36,41,45,47
12,14,21,31,38,47,55,59
14,18,23,25,45,49,53,60
04,19,27,34,40,44,49,52
04,05,19,25,31,32,35,52
15,29,37,41,51,52,53,55
06,17,19,25,27,34,48,59
04,16,28,38,51,53,56,60
01,22,28,45,48,55,58,59
13,22,27,31,33,37,59,60
02,04,07,31,33,42,43,46
01,10,12,16,30,47,53,54
01,07,17,28,20,22,39,60
07,11,22,27,43,47,53,57
03,08,23,30,44,45,55,56
05,07,16,31,37,49,59,60
01,18,23,26,33,39,44,47
02,27,33,35,52,56,57,58
15,21,22,37,41,48,51,56
18,23,24,30,44,46,54,59
09,11,21,24,49,50,55,59
12,18,23,25,28,36,42,52
09,13,19,22,32,34,49,54
12,18,23,25,28,36,42,52
09,13,19,22,32,34,49,54
02,09,13,25,34,42,50,60
11,18,23,33,38,45,50,51
01,03,11,17,36,39,50,53
09,10,11,15,23,24,28,57
10,16,18,25,31,36,41,43
02,04,16,27,29,31,36,55
12,19,23,29,40,41,42,54
12,14,23,25,30,31,34,43
05,07,13,17,28,36,44,45
03,09,11,16,17,20,52,55
06,22,26,40,41,56,57,59
01,06,11,16,18,25,30,57
04,19,22,44,45,46,47,59
01,07,12,19,21,24,31,54
15,16,21,30,34,36,52,53
23,25,30,31,34,39,55,56
22,26,36,49,53,54,55,58
01,10,11,17,30,36,44,57
04,07,09,21,22,43,52,56
02,07,11,14,31,40,48,58
14,17,18,22,25,27,32,57
20,27,28,42,51,53,54,58
